Date,Home,Away,Winner (H/A),MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 14, 2024",IND,ATL,H,48,115,39,89,43.8,12,36,33.3,25,27,92.6,9,23,32,25,17,6,5,12,-42
"Apr 12, 2024",MIN,ATL,H,48,106,40,90,44.4,9,30,30.0,17,25,68.0,9,31,40,23,15,4,1,25,-3
"Apr 10, 2024",ATL,CHA,A,48,114,43,82,52.4,18,40,45.0,10,16,62.5,7,31,38,35,18,7,2,20,-1
"Apr 09, 2024",ATL,MIA,A,58,111,45,113,39.8,10,46,21.7,11,14,78.6,17,42,59,28,16,13,2,23,-6
"Apr 06, 2024",DEN,ATL,H,48,110,37,87,42.5,12,37,32.4,24,29,82.8,11,27,38,30,16,8,2,18,-32
"Apr 04, 2024",DAL,ATL,H,48,95,34,85,40.0,13,38,34.2,14,21,66.7,11,45,56,21,21,7,2,22,-14
"Apr 03, 2024",ATL,DET,H,48,121,49,90,54.4,13,38,34.2,10,15,66.7,6,42,48,36,16,9,8,13,8
"Apr 01, 2024",CHI,ATL,A,48,113,41,82,50.0,19,40,47.5,12,18,66.7,8,37,45,29,15,4,5,21,12
"Mar 30, 2024",ATL,MIL,A,48,113,42,92,45.7,14,35,40.0,15,18,83.3,9,30,39,24,11,5,3,26,-9
"Mar 28, 2024",ATL,BOS,H,53,123,51,104,49.0,15,44,34.1,6,10,60.0,17,36,53,24,11,5,5,17,1
"Mar 27, 2024",ATL,POR,H,48,120,44,85,51.8,16,41,39.0,16,20,80.0,8,33,41,23,17,12,9,17,14
"Mar 25, 2024",ATL,BOS,H,48,120,46,87,52.9,18,36,50.0,10,17,58.8,15,29,44,30,13,5,3,18,2
"Mar 23, 2024",ATL,CHA,H,48,132,50,90,55.6,20,42,47.6,12,14,85.7,11,32,43,40,9,9,5,14,41
"Mar 21, 2024",PHX,ATL,H,48,115,40,91,44.0,12,35,34.3,23,29,79.3,12,24,36,27,11,11,3,23,-13
"Mar 18, 2024",LAL,ATL,H,48,105,42,98,42.9,9,41,22.0,12,15,80.0,12,30,42,32,9,8,5,14,-31
"Mar 17, 2024",LAC,ATL,A,48,110,41,84,48.8,17,34,50.0,11,12,91.7,10,35,45,32,16,10,7,22,17
"Mar 15, 2024",UTA,ATL,H,48,122,41,92,44.6,20,39,51.3,20,27,74.1,11,30,41,32,9,7,5,16,-2
"Mar 13, 2024",POR,ATL,H,48,102,38,88,43.2,14,39,35.9,12,18,66.7,13,25,38,19,15,11,6,23,-4
"Mar 10, 2024",ATL,NOP,A,48,103,38,91,41.8,17,46,37.0,10,13,76.9,12,29,41,28,11,6,4,15,-13
"Mar 08, 2024",MEM,ATL,A,48,99,37,87,42.5,15,35,42.9,10,15,66.7,15,32,47,21,16,9,5,20,7
"Mar 06, 2024",ATL,CLE,H,48,112,43,84,51.2,11,30,36.7,15,20,75.0,8,34,42,27,11,7,3,17,11
"Mar 05, 2024",NYK,ATL,A,48,116,44,87,50.6,10,31,32.3,18,23,78.3,13,38,51,26,16,6,5,13,16
"Mar 02, 2024",BKN,ATL,H,48,102,37,87,42.5,11,34,32.4,17,23,73.9,12,30,42,23,12,4,4,19,-12
"Feb 29, 2024",BKN,ATL,H,48,97,37,86,43.0,8,28,28.6,15,21,71.4,8,31,39,18,14,3,8,14,-27
"Feb 27, 2024",ATL,UTA,H,48,124,46,93,49.5,12,32,37.5,20,23,87.0,15,40,55,27,18,8,8,15,27
"Feb 25, 2024",ATL,ORL,H,48,109,41,90,45.6,12,29,41.4,15,17,88.2,9,35,44,31,10,10,3,17,17
"Feb 23, 2024",ATL,TOR,A,48,121,46,106,43.4,12,39,30.8,17,24,70.8,20,34,54,27,9,5,4,11,-2
"Feb 14, 2024",CHA,ATL,H,48,99,36,89,40.4,9,38,23.7,18,20,90.0,15,30,45,23,16,5,6,20,-23
